City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,76.59,few clouds,-23.1203,-134.9692,People ThankYou
10,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
13,Moerai,PF,74.79,overcast clouds,-22.4333,-151.3333,Le Manotel
14,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
15,Castro,BR,73.92,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
23,Kang,BW,74.82,few clouds,-23.6752,22.7876,Kang Ultra Stop
29,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
32,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Lagoa,PT,63.45,broken clouds,39.05,-27.9833,Casa Das Faias
36,Bambanglipuro,ID,77.76,overcast clouds,-7.95,110.2833,Puri Brata
37,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Mataura,NZ,60.75,overcast clouds,-46.1927,168.8643,Ellie's Villa
42,San Juan De Los Morros,VE,76.78,overcast clouds,9.9115,-67.3538,Hotel La Montaña
46,Chuy,UY,76.26,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Airai,TL,61.72,overcast clouds,-8.9266,125.4092,Juvinal Martin
51,Ponta Do Sol,PT,64.71,broken clouds,32.6667,-17.1,Hotel do Campo
53,Hobart,AU,63.1,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
54,Ambilobe,MG,76.8,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
61,East London,ZA,62.37,overcast clouds,-33.0153,27.9116,Tu Casa
62,Mar Del Plata,AR,74.73,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Rawson,AR,66.81,few clouds,-43.3002,-65.1023,Hosteria Sampedro
70,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
74,Ancud,CL,62.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
76,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
80,Vangaindrano,MG,74.34,light rain,-23.35,47.6,Hotel Fanilo
81,Lompoc,US,75.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
83,Gushikawa,JP,61.83,clear sky,26.3544,127.8686,Kirari Guest House
95,Lebanon,US,61.32,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
100,Bengkulu,ID,74.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
101,Rancho Palos Verdes,US,77.05,clear sky,33.7445,-118.387,Terranea Resort
103,Garowe,SO,76.32,scattered clouds,8.4054,48.4845,Curubo Hotel
106,Balarampur,IN,64.94,clear sky,23.1167,86.2167,Ashok general store
108,Rosarito,MX,76.64,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
109,Lingao,CN,65.88,few clouds,19.9103,109.6859,Lingao Ditai Inn
116,Iranshahr,IR,62.94,clear sky,27.2025,60.6848,نیک سرشت
119,Marsabit,KE,73.02,clear sky,2.3284,37.9899,Chicho Hotel
