City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gobabis,NA,2021-11-23 21:28:53,-22.45,18.9667,70.84,16,0,10.49
1,Kodiak,US,2021-11-23 21:28:54,57.79,-152.4072,11.71,62,90,8.05
2,Kavaratti,IN,2021-11-23 21:24:57,10.5669,72.642,81.36,79,73,12.84
3,Dikson,RU,2021-11-23 21:28:55,73.5069,80.5464,0.63,94,100,13.09
4,Sao Filipe,CV,2021-11-23 21:28:55,14.8961,-24.4956,79.65,71,99,3.67
5,Vaini,TO,2021-11-23 21:28:55,-21.2,-175.2,82.56,83,20,4.61
6,Nikolskoye,RU,2021-11-23 21:28:56,59.7035,30.7861,29.39,83,81,7.0
7,Mataura,NZ,2021-11-23 21:28:57,-46.1927,168.8643,58.21,58,91,2.95
8,Emba,KZ,2021-11-23 21:28:57,48.8264,58.1442,36.45,99,100,3.6
9,Ushuaia,AR,2021-11-23 21:27:34,-54.8,-68.3,46.02,70,90,8.05
10,Yellowknife,CA,2021-11-23 21:28:58,62.456,-114.3525,-12.59,96,75,5.75
11,Hofn,IS,2021-11-23 21:28:58,64.2539,-15.2082,35.31,79,100,7.23
12,Qinnan,CN,2021-11-23 21:28:58,33.2531,119.9133,38.52,54,0,7.09
13,Bluff,NZ,2021-11-23 21:28:59,-46.6,168.3333,55.04,72,100,13.13
14,Georgetown,MY,2021-11-23 21:28:59,5.4112,100.3354,79.95,88,40,0.0
15,Waipawa,NZ,2021-11-23 21:27:57,-41.4122,175.5153,61.03,58,24,5.08
16,Punta Arenas,CL,2021-11-23 21:29:00,-53.15,-70.9167,53.71,50,0,36.82
17,Ikorodu,NG,2021-11-23 21:29:00,6.6191,3.5041,80.56,81,10,9.06
18,Esso,RU,2021-11-23 21:29:01,55.9333,158.7,20.89,98,100,6.31
19,Melito Di Porto Salvo,IT,2021-11-23 21:29:01,37.9222,15.7714,61.14,82,8,6.91
20,La Rioja,ES,2021-11-23 21:29:02,42.25,-2.5,35.49,100,100,0.87
21,Hobart,AU,2021-11-23 21:29:03,-42.8794,147.3294,67.01,80,0,1.99
22,Cape Town,ZA,2021-11-23 21:29:03,-33.9258,18.4232,64.11,66,0,24.16
23,Puerto Ayora,EC,2021-11-23 21:29:04,-0.7393,-90.3518,78.76,73,30,10.96
24,Katsuura,JP,2021-11-23 21:26:14,35.1333,140.3,54.19,58,0,31.38
25,Jamestown,US,2021-11-23 21:26:35,42.097,-79.2353,33.71,84,90,7.0
26,Hilo,US,2021-11-23 21:29:04,19.7297,-155.09,82.13,68,75,5.75
27,Cidreira,BR,2021-11-23 21:25:16,-30.1811,-50.2056,68.76,64,2,12.17
28,Krasavino,RU,2021-11-23 21:29:05,60.9614,46.4814,10.54,96,49,5.44
29,Arraial Do Cabo,BR,2021-11-23 21:29:05,-22.9661,-42.0278,76.96,83,0,12.66
30,Vila Velha,BR,2021-11-23 21:29:06,-20.3297,-40.2925,76.95,84,0,3.0
31,Albany,US,2021-11-23 21:25:45,42.6001,-73.9662,32.41,55,14,11.01
32,Thompson,CA,2021-11-23 21:29:06,55.7435,-97.8558,-0.24,78,90,13.8
33,Bredasdorp,ZA,2021-11-23 21:29:07,-34.5322,20.0403,57.27,78,70,4.05
34,Butaritari,KI,2021-11-23 21:29:07,3.0707,172.7902,82.04,74,99,17.49
35,Port Alfred,ZA,2021-11-23 21:29:08,-33.5906,26.891,62.73,65,88,18.5
36,Ponta Do Sol,PT,2021-11-23 21:24:10,32.6667,-17.1,68.63,77,100,4.5
37,Ribeira Grande,PT,2021-11-23 21:29:09,38.5167,-28.7,66.6,88,40,23.02
38,Mariakani,KE,2021-11-23 21:29:09,-3.8633,39.4736,74.59,92,99,3.8
39,Rikitea,PF,2021-11-23 21:29:10,-23.1203,-134.9692,76.78,81,20,14.97
40,Namibe,AO,2021-11-23 21:29:10,-15.1961,12.1522,70.41,73,9,5.08
41,Castro,BR,2021-11-23 21:29:11,-24.7911,-50.0119,76.37,48,36,4.16
42,Codrington,AU,2021-11-23 21:26:08,-38.2667,141.9667,59.83,92,99,5.88
43,Tuktoyaktuk,CA,2021-11-23 21:29:11,69.4541,-133.0374,-4.4,96,100,2.77
44,Mar Del Plata,AR,2021-11-23 21:28:43,-38.0023,-57.5575,71.62,37,0,18.41
45,Esperance,AU,2021-11-23 21:29:12,-33.8667,121.9,55.24,74,8,5.55
46,Cayenne,GF,2021-11-23 21:30:12,4.9333,-52.3333,84.24,83,97,5.99
47,Kapaa,US,2021-11-23 21:30:13,22.0752,-159.319,82.38,73,90,10.36
48,Sibolga,ID,2021-11-23 21:30:14,1.7427,98.7792,76.05,84,100,3.42
49,Brownsville,US,2021-11-23 21:26:54,25.9018,-97.4975,78.91,57,1,7.0
50,Chuy,UY,2021-11-23 21:30:14,-33.6971,-53.4616,58.66,64,0,8.93
51,Camacha,PT,2021-11-23 21:30:15,33.0833,-16.3333,65.16,77,40,14.97
52,Nishihara,JP,2021-11-23 21:30:15,26.1842,127.7558,63.68,59,40,14.97
53,Beboto,TD,2021-11-23 21:26:06,8.2668,16.939,75.96,29,6,2.33
54,Vestmannaeyjar,IS,2021-11-23 21:30:16,63.4427,-20.2734,39.67,65,65,24.85
55,Iqaluit,CA,2021-11-23 21:30:17,63.7506,-68.5145,26.33,68,75,15.01
56,Longyearbyen,SJ,2021-11-23 21:30:17,78.2186,15.6401,6.64,56,20,11.5
57,Ratnagiri,IN,2021-11-23 21:30:18,16.9833,73.3,80.38,86,71,6.69
58,Qaanaaq,GL,2021-11-23 21:30:18,77.484,-69.3632,-6.11,67,83,9.55
59,Avarua,CK,2021-11-23 21:30:19,-21.2078,-159.775,80.65,61,98,17.27
60,Cherskiy,RU,2021-11-23 21:30:19,68.75,161.3,-34.06,100,32,4.21
61,Quatre Cocos,MU,2021-11-23 21:30:20,-20.2078,57.7625,73.51,76,46,8.79
62,Oistins,BB,2021-11-23 21:30:20,13.0667,-59.5333,82.49,74,40,10.36
63,Maltahohe,NA,2021-11-23 21:30:21,-24.8333,16.9833,66.56,25,0,6.4
64,Nantucket,US,2021-11-23 21:30:21,41.2835,-70.0995,39.31,52,1,18.41
65,Ostrovnoy,RU,2021-11-23 21:30:22,68.0531,39.5131,21.99,92,100,5.17
66,Clyde River,CA,2021-11-23 21:30:23,70.4692,-68.5914,17.83,86,90,20.71
67,Conceicao Do Araguaia,BR,2021-11-23 21:30:23,-8.2578,-49.2647,76.98,88,100,3.51
68,Pevek,RU,2021-11-23 21:30:24,69.7008,170.3133,-21.1,99,47,2.91
69,Calama,CL,2021-11-23 21:30:04,-22.4667,-68.9333,75.69,8,69,21.85
70,Flin Flon,CA,2021-11-23 21:30:25,54.7682,-101.865,6.64,78,90,17.27
71,Aklavik,CA,2021-11-23 21:30:25,68.2191,-135.0107,-7.6,84,90,6.91
72,Rjukan,NO,2021-11-23 21:30:26,59.8789,8.5941,43.81,84,100,12.26
73,San Quintin,MX,2021-11-23 21:30:26,30.4833,-115.95,69.15,57,3,10.94
74,Dauphin,CA,2021-11-23 21:30:27,51.1494,-100.0502,35.74,69,1,16.11
75,Price,US,2021-11-23 21:30:27,39.5994,-110.8107,44.11,33,1,5.75
76,Nueve De Julio,AR,2021-11-23 21:30:28,-35.4444,-60.8831,83.71,24,0,5.28
77,Vardo,NO,2021-11-23 21:30:28,70.3705,31.1107,21.18,68,75,14.97
78,Kavieng,PG,2021-11-23 21:30:29,-2.5744,150.7967,83.77,75,100,15.82
79,Anjozorobe,MG,2021-11-23 21:30:29,-18.4,47.8667,68.32,86,66,2.01
80,Dzhebariki-Khaya,RU,2021-11-23 21:30:30,62.2167,135.8,-15.43,97,100,2.95
81,Obo,CF,2021-11-23 21:30:30,5.3998,26.4869,70.84,47,45,2.71
82,Aykhal,RU,2021-11-23 21:30:30,66.0,111.5,-18.65,98,99,8.72
83,Luderitz,NA,2021-11-23 21:30:31,-26.6481,15.1594,63.75,69,30,18.3
84,Kentville,CA,2021-11-23 21:30:32,45.0835,-64.4988,36.79,94,100,5.75
85,Busselton,AU,2021-11-23 21:30:32,-33.65,115.3333,52.05,75,1,7.4
86,Alekseyevsk,RU,2021-11-23 21:30:32,57.8406,108.3492,13.86,98,100,2.08
87,Rio Verde De Mato Grosso,BR,2021-11-23 21:30:33,-18.9181,-54.8442,83.44,67,50,2.3
88,Torbay,CA,2021-11-23 21:30:34,47.6666,-52.7314,42.58,94,90,26.46
89,Malinovoye Ozero,RU,2021-11-23 21:30:34,51.6753,79.7825,24.73,89,49,9.91
90,Tomatlan,MX,2021-11-23 21:31:35,19.9333,-105.25,83.57,61,22,5.23
91,Olafsvik,IS,2021-11-23 21:31:35,64.8945,-23.7142,33.82,70,71,21.72
92,Geraldton,AU,2021-11-23 21:31:27,-28.7667,114.6,54.01,87,0,6.91
93,Saskylakh,RU,2021-11-23 21:31:36,71.9167,114.0833,-23.01,94,13,11.32
94,Port Hedland,AU,2021-11-23 21:31:36,-20.3167,118.5667,78.85,78,75,5.75
95,Navahrudak,BY,2021-11-23 21:31:37,53.6,25.8333,27.91,96,82,6.87
96,Stettler,CA,2021-11-23 21:31:37,52.3168,-112.7186,19.15,73,100,20.71
97,Kindu,CD,2021-11-23 21:31:38,-2.95,25.95,69.84,98,96,1.68
98,Sidi Bin Nur,TN,2021-11-23 21:31:38,35.5333,10.9167,58.91,70,53,5.88
99,Kirovo-Chepetsk,RU,2021-11-23 21:31:39,58.5539,50.0399,15.01,84,100,8.39
100,Tumpat,MY,2021-11-23 21:31:39,6.1978,102.171,75.18,94,40,0.0
101,Saint-Philippe,RE,2021-11-23 21:31:40,-21.3585,55.7679,73.22,77,64,11.16
102,Gatesville,US,2021-11-23 21:31:40,31.4352,-97.7439,70.36,30,1,11.5
103,Bambous Virieux,MU,2021-11-23 21:31:40,-20.3428,57.7575,73.65,83,40,4.61
104,Port Elizabeth,ZA,2021-11-23 21:28:06,-33.918,25.5701,59.09,88,75,9.22
105,Lipin Bor,RU,2021-11-23 21:31:41,60.2622,37.9763,26.13,91,100,10.27
106,Am Timan,TD,2021-11-23 21:31:42,11.0297,20.2827,76.84,22,6,5.95
107,Hermanus,ZA,2021-11-23 21:31:42,-34.4187,19.2345,62.91,79,93,9.1
108,Labuhan,ID,2021-11-23 21:31:42,-6.8844,112.2051,77.79,88,100,5.23
109,Bambanglipuro,ID,2021-11-23 21:31:43,-7.95,110.2833,75.31,93,100,5.93
110,Okato,NZ,2021-11-23 21:31:43,-39.2,173.8833,65.43,51,0,5.5
111,Coquimbo,CL,2021-11-23 21:31:25,-29.9533,-71.3436,62.33,67,20,11.5
112,Tyler,US,2021-11-23 21:30:28,32.3513,-95.3011,69.19,32,1,3.0
113,Ust-Tsilma,RU,2021-11-23 21:31:44,65.441,52.1498,6.33,98,71,4.63
114,Endicott,US,2021-11-23 21:31:45,42.0984,-76.0494,33.17,66,40,5.01
115,Kruisfontein,ZA,2021-11-23 21:31:45,-34.0033,24.7314,56.88,72,75,8.19
116,Indiaroba,BR,2021-11-23 21:31:46,-11.5192,-37.5117,78.08,84,41,5.64
117,Tevaitoa,PF,2021-11-23 21:31:47,-16.7833,-151.5,80.56,72,48,3.74
118,General Roca,AR,2021-11-23 21:31:47,-39.0333,-67.5833,90.0,11,27,9.57
119,Decatur,US,2021-11-23 21:27:48,39.8403,-88.9548,46.76,42,1,16.11
120,Talnakh,RU,2021-11-23 21:31:48,69.4865,88.3972,11.84,92,100,11.52
121,Shelburne,CA,2021-11-23 21:30:05,44.0787,-80.2041,32.67,77,32,4.88
122,Acarau,BR,2021-11-23 21:30:34,-2.8856,-40.12,80.98,79,100,16.06
123,Barrow,US,2021-11-23 21:31:48,71.2906,-156.7887,-0.38,78,90,3.44
124,Conde,BR,2021-11-23 21:31:49,-7.2597,-34.9075,80.06,78,20,9.22
125,Noshiro,JP,2021-11-23 21:31:49,40.2039,140.0242,39.79,69,100,15.84
126,Poum,NC,2021-11-23 21:31:50,-20.2333,164.0167,78.87,76,100,13.98
127,Souillac,MU,2021-11-23 21:31:50,-20.5167,57.5167,73.78,83,40,4.61
128,Eyrarbakki,IS,2021-11-23 21:31:51,63.863,-21.1481,34.21,74,40,16.69
129,Margate,GB,2021-11-23 21:30:28,51.3813,1.3862,45.3,87,0,5.99
130,Atuona,PF,2021-11-23 21:31:51,-9.8,-139.0333,77.81,77,27,15.08
131,Cervia,IT,2021-11-23 21:31:52,44.2657,12.3427,54.0,90,0,5.75
132,Lebu,CL,2021-11-23 21:31:53,-37.6167,-73.65,59.31,79,0,16.91
133,Sao Sebastiao,BR,2021-11-23 21:28:30,-23.76,-45.4097,76.68,68,40,3.53
134,College,US,2021-11-23 21:31:53,64.8569,-147.8028,-2.25,60,40,5.75
135,Tiksi,RU,2021-11-23 21:31:54,71.6872,128.8694,-20.11,97,59,7.11
136,Mogadishu,SO,2021-11-23 21:32:55,2.0371,45.3438,79.65,77,100,7.94
137,Silva Jardim,BR,2021-11-23 21:32:55,-22.6508,-42.3917,76.98,91,5,2.59
138,Walvis Bay,NA,2021-11-23 21:32:56,-22.9575,14.5053,58.15,88,0,4.61
139,Vanimo,PG,2021-11-23 21:32:56,-2.6741,141.3028,80.01,84,100,4.03
140,Salvador,SV,2021-11-23 21:32:57,13.8333,-88.9167,84.6,65,65,2.35
141,Taltal,CL,2021-11-23 21:32:57,-25.4,-70.4833,63.86,73,41,5.7
142,Kathu,TH,2021-11-23 21:32:57,7.9178,98.3332,83.7,99,99,18.77
143,Sitka,US,2021-11-23 21:32:58,57.0531,-135.33,33.69,86,90,9.22
144,Haines Junction,CA,2021-11-23 21:32:58,60.7522,-137.5108,-2.25,78,100,0.0
145,Pokrovskoye,RU,2021-11-23 21:32:59,47.4157,38.8971,39.81,73,80,9.17
146,Tasiilaq,GL,2021-11-23 21:33:00,65.6145,-37.6368,19.56,59,36,5.95
147,Norman Wells,CA,2021-11-23 21:29:28,65.282,-126.8329,-23.76,69,20,0.0
148,Boa Vista,BR,2021-11-23 21:33:00,2.8197,-60.6733,89.58,51,20,5.75
149,Arya,PK,2021-11-23 21:33:01,33.6,73.0667,53.24,69,57,4.9
150,Sinnai,IT,2021-11-23 21:33:01,39.3042,9.2036,57.72,86,0,3.44
151,Great Falls,US,2021-11-23 21:33:02,47.5002,-111.3008,47.59,32,90,8.99
152,Saint George,US,2021-11-23 21:33:02,37.1041,-113.5841,72.07,21,1,1.99
153,Laurel,US,2021-11-23 21:33:03,39.0993,-76.8483,43.29,41,40,4.0
154,Malanje,AO,2021-11-23 21:33:03,-9.5402,16.341,63.55,93,21,3.02
155,Basco,PH,2021-11-23 21:33:04,20.4487,121.9702,76.91,78,74,26.44
156,Bengkulu,ID,2021-11-23 21:33:04,-3.8004,102.2655,74.95,85,99,3.02
157,Manaus,BR,2021-11-23 21:33:05,-3.1019,-60.025,84.69,79,40,0.0
